trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-94.33936695192057,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-221.00006435910902,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.9995500337489875}",25,5,-151.62270067091438,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-95.99444283412146,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-98.22401001187153,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-48.12336415109997,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9975510002532796}",20,0,-74.35670431511535,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9968017063026194}",35,0,-183.92863063003793,"{0: 20, 1: 1, 2: 11, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9959527330119943}",25,0,-79.51819023228539,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9950041652780257}",20,0,-87.17715481484002,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9939560979566968}",30,0,-185.47533996558036,"{0: 14, 1: 4, 2: 10, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9928086358538663}",25,0,-149.13810560835464,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9915618937147881}",25,0,-75.62679354101837,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-86.7399559429307,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,8,-57.160281271117896,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-60.42934528567585,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9855847669095608}",30,0,-193.64404224150533,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9838436927881214}",20,0,-95.78756106310138,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9820042351172703}",25,6,-43.74436463270204,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-54.401046867845004,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-104.50095672555527,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9758974493306055}",30,0,-54.75833164495947,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9736663950053749}",25,0,1.4163558151754216,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9713379748520297}",25,0,-70.35586410469713,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9689124217106447}",25,0,-152.47483803760116,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9663899781345132}",20,0,-117.7032062644698,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9637708963658905}",25,0,-141.24061940546315,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9610554383107709}",20,0,-39.43262147233102,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9582438755126972}",20,0,-42.51786611150282,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,4.951326985018161,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9523335698857134}",30,0,-245.2760137623232,"{0: 15, 1: 1, 2: 10, 3: 0, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.9492354180824408}",20,0,-128.9274059019042,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.946042343528387}",25,0,-205.6257030841468,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9427546655283462}",20,7,4.273723018290262,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.9393727128473789}",30,0,-98.4145075128772,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9358968236779348}",20,0,-116.45823489045367,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9323273456060345}",25,0,-117.86503762217856,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9286646355765102}",25,0,-147.89527464060743,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9249090598573131}",30,14,-35.88375279503475,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.9210609940028851}",25,10,-32.395236583840166,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.9171208228166051}",20,0,-73.21559671848578,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
