trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.59185848157003,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.93006801129704,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.55504629237018,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,2,-63.097657953950545,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.25896035489804,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-153.2852282948591,"{0: 19, 1: 5, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.762131108724,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,17,-6.969007695775125,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-259.63102860464755,"{0: 14, 1: 6, 2: 11, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-147.93464761474436,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.59386489670851,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-80.52923112501075,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.51122141077815,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.87504682354398,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.32735465564218,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,1,-117.90752885485982,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.37127221554556,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.47303550446217,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.08636607437882,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,4,-69.46339912170986,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.61644084283226,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-163.26580490610405,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.01160157175961,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.18008273430044,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.59824603498276,"{0: 5, 1: 6, 2: 8, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.3804986505531,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-22.36607249311744,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.2492803273581,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,10,6.368128300374577,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.45849776473561,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
